item,valence,arousal,img,aoa,length,SUBTLWF,LgSUBTLWF,OLD,PLD,e2hit,e2fa,e2hminfa,e1hit,e1fa,e1hminfa,valstrength,e1e2hits,e1e2fas,e1e2hminfas,valxarousal
injure,3.74,5.90,5.0,4.88,6,1.00,1.72,1.80,1.90,.67,.30,.37,.63,.17,.47,1.26,.65,.23,.42,7.43
inmate,2.67,4.73,5.8,5.73,6,2.69,2.14,2.00,2.30,.67,.27,.40,.83,.23,.60,2.33,.75,.25,.50,11.02
innate,5.14,2.95,2.5,5.73,6,.76,1.60,2.05,1.90,.73,.10,.63,.70,.40,.30,.14,.72,.25,.47,.41
input,5.05,3.00,2.8,5.09,5,2.98,2.18,2.15,2.85,.70,.23,.47,.63,.23,.40,.05,.67,.23,.43,.15
inquest,3.77,3.71,1.9,6.09,7,.80,1.62,2.60,2.80,.53,.07,.47,.73,.13,.60,1.23,.63,.10,.53,4.56
inquire,5.32,3.73,2.9,5.52,7,1.69,1.94,2.25,2.30,.77,.27,.50,.76,.38,.38,.32,.76,.32,.44,1.19
insane,2.55,5.14,4.8,4.67,6,38.69,3.30,2.05,1.95,.70,.13,.57,.57,.27,.30,2.45,.63,.20,.43,12.59
insect,4.43,4.67,6.6,3.24,6,3.16,2.21,1.70,1.80,.80,.27,.53,.83,.30,.53,.57,.82,.28,.53,2.66
insert,5.10,3.68,4.7,4.64,6,2.76,2.15,1.75,1.90,.87,.37,.50,.66,.28,.38,.10,.76,.32,.44,.37
insight,6.76,3.96,2.6,5.45,7,2.80,2.16,2.65,2.40,.67,.37,.30,.57,.27,.30,1.76,.62,.32,.30,6.97
insist,4.42,4.55,3.2,5.15,6,17.84,2.96,1.95,1.85,.70,.47,.23,.73,.27,.47,.58,.72,.37,.35,2.64
inspect,5.26,4.05,4.3,4.82,7,2.55,2.12,2.35,2.15,.47,.30,.17,.67,.20,.47,.26,.57,.25,.32,1.05
install,5.95,3.72,4.7,4.85,7,2.71,2.14,2.70,2.50,.70,.17,.53,.53,.23,.30,.95,.62,.20,.42,3.53
instance,,,2.5,5.09,8,16.78,2.93,2.40,2.55,.60,.27,.33,.43,.20,.23,,.52,.23,.28,
instant,5.84,4.33,3.5,4.82,7,10.78,2.74,2.35,2.30,.77,.40,.37,.47,.30,.17,.84,.62,.35,.27,3.64
instead,,,1.9,4.45,7,79.27,3.61,2.80,2.35,.60,.27,.33,.43,.33,.10,,.52,.30,.22,
instinct,5.67,4.44,2.9,5.09,8,7.65,2.59,2.60,2.60,.80,.67,.13,.73,.40,.33,.67,.77,.53,.23,2.97
instruct,5.81,4.25,3.0,5.06,8,1.67,1.93,2.60,2.45,.53,.23,.30,.43,.23,.20,.81,.48,.23,.25,3.44
insult,2.62,5.30,4.3,4.82,6,12.53,2.81,2.15,2.15,.80,.20,.60,.53,.27,.27,2.38,.67,.23,.43,12.61
insure,5.67,3.76,2.7,5.45,6,1.06,1.74,1.70,1.95,.63,.33,.30,.59,.41,.17,.67,.61,.37,.24,2.52
intact,6.00,3.18,3.8,5.36,6,6.35,2.51,2.05,1.95,.67,.50,.17,.50,.27,.23,1.00,.58,.38,.20,3.18
intend,5.75,3.39,2.2,5.09,6,23.20,3.07,1.90,1.80,.83,.20,.63,.57,.27,.30,.75,.70,.23,.47,2.54
intense,5.65,6.60,3.5,5.24,7,10.20,2.72,2.30,1.90,.63,.47,.17,.70,.40,.30,.65,.67,.43,.23,4.29
intent,5.86,4.32,2.2,5.24,6,5.61,2.46,1.85,1.80,.73,.40,.33,.70,.47,.23,.86,.72,.43,.28,3.72
intern,5.14,3.62,5.8,6.06,6,4.55,2.37,1.90,1.90,.77,.13,.63,.70,.10,.60,.14,.73,.12,.62,.51
into,,,2.9,3.52,4,844.59,4.63,1.75,1.75,.53,.03,.50,.57,.10,.47,,.55,.07,.48,
intrigue,6.05,5.18,2.6,5.55,8,1.51,1.89,3.25,2.20,.67,.10,.57,.73,.13,.60,1.05,.70,.12,.58,5.44
invade,3.32,6.00,4.7,4.94,6,3.06,2.20,2.10,1.85,.90,.27,.63,.67,.23,.43,1.68,.78,.25,.53,10.08
invent,6.64,6.16,3.7,4.73,6,4.61,2.37,1.80,1.80,.67,.30,.37,.70,.13,.57,1.64,.68,.22,.47,10.10
invest,6.16,3.95,3.2,5.52,6,4.73,2.38,1.70,1.80,.67,.33,.33,.76,.24,.52,1.16,.71,.29,.43,4.58
invite,5.68,5.10,4.0,4.15,6,29.59,3.18,2.10,1.85,.60,.23,.37,.67,.27,.40,.68,.63,.25,.38,3.47
invoice,4.60,3.68,3.4,5.73,7,1.04,1.73,2.65,2.45,.67,.17,.50,.70,.13,.57,.40,.68,.15,.53,1.47
invoke,5.05,4.85,2.3,5.76,6,1.00,1.72,2.35,2.30,.83,.27,.57,.73,.33,.40,.05,.78,.30,.48,.24
involve,5.44,3.60,3.1,4.85,7,6.47,2.52,2.55,2.50,.70,.20,.50,.60,.27,.33,.44,.65,.23,.42,1.58
inward,,,3.0,5.18,6,.78,1.61,2.00,1.90,.70,.10,.60,.60,.10,.50,,.65,.10,.55,
irate,2.90,4.71,3.4,5.97,5,.61,1.51,1.75,1.90,.73,.13,.60,.60,.03,.57,2.10,.67,.08,.58,9.89
iris,6.85,4.20,6.0,5.30,4,5.29,2.43,1.85,1.85,.87,.07,.80,.70,.20,.50,1.85,.78,.13,.65,7.77
iron,5.03,3.24,6.4,4.27,4,17.94,2.96,1.70,1.85,.73,.13,.60,.67,.03,.63,.03,.70,.08,.62,.10
island,7.18,4.25,6.6,3.67,6,39.57,3.31,1.90,1.80,.73,.17,.57,.70,.07,.63,2.18,.72,.12,.60,9.27
issue,3.95,4.55,3.3,4.85,5,34.14,3.24,2.05,1.70,.70,.23,.47,.47,.20,.27,1.05,.58,.22,.37,4.78
item,5.29,2.90,5.1,4.03,4,12.31,2.80,1.90,1.85,.43,.07,.37,.43,.07,.37,.29,.43,.07,.37,.84
itself,,,2.0,4.39,6,39.78,3.31,2.85,3.50,.53,.03,.50,.47,.03,.43,,.50,.03,.47,
jackal,4.65,4.58,5.0,5.64,6,1.59,1.91,2.60,2.05,.80,.10,.70,.70,.07,.63,.35,.75,.08,.67,1.60
jacket,5.86,3.35,6.7,3.27,6,33.41,3.23,1.85,2.00,.70,.03,.67,.80,.27,.53,.86,.75,.15,.60,2.88
jaguar,5.63,5.55,6.5,3.82,6,2.37,2.09,2.85,3.85,.83,.13,.70,.87,.07,.80,.63,.85,.10,.75,3.50
jargon,4.85,3.95,3.3,6.12,6,.61,1.51,2.05,2.85,.73,.07,.67,.80,.13,.67,.15,.77,.10,.67,.59
jasmine,6.74,3.70,5.8,5.39,7,5.45,2.45,2.85,3.00,.83,.07,.77,.80,.03,.77,1.74,.82,.05,.77,6.44
jasper,,,3.1,5.55,6,4.53,2.37,2.00,2.70,.80,.10,.70,.80,.10,.70,,.80,.10,.70,
java,5.90,5.05,5.3,5.73,4,1.53,1.90,1.95,2.00,.87,.03,.83,.83,.07,.77,.90,.85,.05,.80,4.55
jealous,2.38,5.90,4.4,4.27,7,38.27,3.29,2.75,2.00,.67,.13,.53,.67,.23,.43,2.62,.67,.18,.48,15.46
jelly,5.90,3.63,6.5,2.94,5,7.12,2.56,1.70,1.45,.67,.20,.47,.80,.13,.67,.90,.73,.17,.57,3.27
jersey,,,6.6,4.42,6,18.10,2.97,2.55,2.30,.97,.07,.90,.87,.07,.80,,.92,.07,.85,
jester,4.53,4.75,5.6,5.58,6,2.29,2.07,1.75,2.10,.80,.17,.63,.77,.30,.47,.47,.78,.23,.55,2.23
jewel,6.68,3.83,6.8,4.06,5,7.24,2.57,1.95,1.65,.80,.07,.73,.73,.20,.53,1.68,.77,.13,.63,6.43
jiffy,6.09,4.89,4.5,4.36,5,1.57,1.91,2.50,1.95,.73,.10,.63,.93,.20,.73,1.09,.83,.15,.68,5.33
jiggle,6.15,5.22,5.6,3.85,6,1.22,1.80,1.70,1.85,.80,.30,.50,.77,.20,.57,1.15,.78,.25,.53,6.00
jingle,5.16,4.33,5.2,3.91,6,5.06,2.41,1.60,2.05,.80,.30,.50,.83,.27,.57,.16,.82,.28,.53,.69
jockey,4.95,4.84,6.3,5.21,6,4.84,2.39,1.95,1.80,.73,.07,.67,.73,.13,.60,.05,.73,.10,.63,.24
jolly,7.47,5.95,5.0,3.70,5,7.49,2.58,1.55,1.70,.87,.13,.73,.73,.10,.63,2.47,.80,.12,.68,14.70
journal,5.91,3.23,6.2,4.30,7,8.88,2.66,2.80,2.55,.63,.17,.47,.67,.10,.57,.91,.65,.13,.52,2.94
journey,6.65,4.89,5.4,4.55,7,19.94,3.01,2.55,1.80,.73,.23,.50,.73,.27,.47,1.65,.73,.25,.48,8.07
judgment,4.65,4.27,3.8,5.15,8,16.45,2.92,2.85,3.85,.67,.27,.40,.80,.13,.67,.35,.73,.20,.53,1.49
judo,5.79,4.50,4.6,5.55,4,.96,1.70,1.85,1.85,.80,.10,.70,.80,.10,.70,.79,.80,.10,.70,3.56
juggle,5.84,5.14,5.8,4.15,6,1.45,1.88,1.85,2.00,.83,.27,.57,.73,.33,.40,.84,.78,.30,.48,4.32
jumbo,4.90,4.24,4.9,4.48,5,2.82,2.16,2.30,2.70,.67,.23,.43,.72,.24,.48,.10,.70,.24,.46,.42
juncture,5.25,4.08,3.2,6.03,8,.78,1.61,2.70,3.45,.70,.07,.63,.60,.00,.60,.25,.65,.03,.62,1.02
jungle,5.70,4.06,6.8,3.48,6,22.57,3.06,1.75,2.25,.83,.40,.43,.83,.27,.57,.70,.83,.33,.50,2.84
junior,5.36,4.15,4.4,4.79,6,35.78,3.26,2.55,2.50,.80,.03,.77,.67,.13,.53,.36,.73,.08,.65,1.49
junket,4.22,3.50,2.2,6.03,,,,,,.60,.03,.57,.60,.07,.53,.78,.60,.05,.55,2.73
jury,4.23,5.20,6.4,5.27,4,42.76,3.34,1.80,1.85,.87,.23,.63,.73,.17,.57,.77,.80,.20,.60,4.00
justice,6.80,5.40,4.5,5.03,7,37.45,3.28,2.60,2.45,.63,.13,.50,.67,.17,.50,1.80,.65,.15,.50,9.72
kaput,3.95,4.45,2.3,5.73,5,1.00,1.72,2.45,2.30,.77,.00,.77,.73,.03,.70,1.05,.75,.02,.73,4.67
karma,6.28,4.18,3.2,5.64,5,3.45,2.25,2.00,1.85,.83,.07,.77,.83,.10,.73,1.28,.83,.08,.75,5.35
kazoo,5.76,5.05,4.0,5.36,5,.61,1.51,2.75,1.95,.83,.10,.73,.90,.03,.87,.76,.87,.07,.80,3.84
kebab,5.95,3.65,4.9,5.94,,,,,,.77,.03,.73,.83,.03,.80,.95,.80,.03,.77,3.47
keister,,,3.8,5.97,,,,,,.83,.07,.77,.77,.03,.73,,.80,.05,.75,
kennel,4.64,3.67,6.4,4.67,6,1.12,1.76,2.35,1.90,.87,.17,.70,.63,.10,.53,.36,.75,.13,.62,1.32
keno,,,4.7,6.15,4,.84,1.64,1.85,1.85,.83,.13,.70,.83,.03,.80,,.83,.08,.75,
kernel,5.23,3.87,6.3,4.73,6,.69,1.56,2.70,1.85,.70,.07,.63,.77,.20,.57,.23,.73,.13,.60,.89
ketchup,6.03,3.85,6.9,2.85,7,6.08,2.49,3.10,2.90,.90,.03,.87,.83,.10,.73,1.03,.87,.07,.80,3.97
kettle,5.67,3.10,6.2,4.58,6,2.80,2.16,1.85,1.30,.80,.23,.57,.67,.20,.47,.67,.73,.22,.52,2.08
khaki,5.05,2.64,6.5,5.15,5,.82,1.63,2.75,1.40,.97,.00,.97,.87,.00,.87,.05,.92,.00,.92,.13
kibble,5.50,3.70,4.2,5.48,,,,,,.83,.10,.73,.83,.13,.70,.50,.83,.12,.72,1.85
kidney,4.90,3.95,6.6,4.97,6,9.69,2.69,2.45,1.85,.80,.07,.73,.83,.20,.63,.10,.82,.13,.68,.39
kingdom,6.74,4.20,6.5,4.15,7,15.43,2.90,2.90,2.80,.67,.10,.57,.66,.24,.41,1.74,.66,.17,.49,7.31
kitchen,6.17,3.52,6.8,2.91,7,58.31,3.47,2.40,2.15,.70,.10,.60,.80,.13,.67,1.17,.75,.12,.63,4.12
kitten,7.58,3.19,6.7,2.36,6,4.73,2.38,1.85,1.75,.83,.10,.73,.77,.20,.57,2.58,.80,.15,.65,8.23
kitty,,,6.6,2.36,5,26.71,3.13,1.90,1.55,.87,.03,.83,.77,.10,.67,,.82,.07,.75,
kiwi,6.11,3.65,6.6,4.18,4,.78,1.61,2.05,2.00,.87,.03,.83,.80,.03,.77,1.11,.83,.03,.80,4.05
knowledge,7.28,4.86,3.7,4.58,9,25.53,3.11,3.80,2.60,.67,.13,.53,.69,.14,.55,2.28,.68,.14,.54,11.08
knuckle,4.68,4.32,6.6,4.12,7,1.29,1.83,2.60,1.70,.73,.10,.63,.77,.07,.70,.32,.75,.08,.67,1.38
kosher,4.68,3.06,3.6,5.61,6,2.69,2.14,2.20,2.00,.87,.00,.87,.80,.07,.73,.32,.83,.03,.80,.98
label,4.79,3.38,5.4,4.52,5,6.88,2.55,1.80,1.45,.67,.30,.37,.60,.27,.33,.21,.63,.28,.35,.71
labor,4.74,5.23,4.9,4.82,5,12.18,2.79,1.95,1.50,.83,.37,.47,.67,.30,.37,.26,.75,.33,.42,1.36
lackey,4.32,4.00,3.0,5.94,6,.65,1.53,1.90,1.35,.80,.03,.77,.70,.07,.63,.68,.75,.05,.70,2.72
lacrosse,5.29,3.70,5.9,5.67,8,1.04,1.73,3.35,2.75,.83,.10,.73,.77,.13,.63,.29,.80,.12,.68,1.07
lactose,4.44,3.44,3.8,5.94,7,.59,1.49,2.90,2.50,.93,.07,.87,.80,.23,.57,.56,.87,.15,.72,1.93
ladder,5.32,4.09,6.5,3.94,6,9.25,2.67,1.70,1.00,.87,.17,.70,.63,.23,.40,.32,.75,.20,.55,1.31
laden,,,2.4,6.00,5,1.63,1.92,1.95,1.90,.90,.30,.60,.70,.23,.47,,.80,.27,.53,
ladle,5.11,2.82,5.9,5.06,5,.75,1.59,2.00,1.75,.83,.13,.70,.80,.23,.57,.11,.82,.18,.63,.31
lady,6.91,4.05,6.2,3.21,4,217.08,4.04,1.75,1.40,.70,.13,.57,.50,.13,.37,1.91,.60,.13,.47,7.74
lagoon,6.23,3.56,6.1,5.39,6,1.59,1.91,2.45,2.30,.73,.13,.60,.87,.27,.60,1.23,.80,.20,.60,4.38
lament,4.16,3.33,2.9,5.58,6,.96,1.70,1.90,2.15,.93,.20,.73,.80,.27,.53,.84,.87,.23,.63,2.80
language,6.38,3.70,4.1,4.00,8,35.10,3.25,3.05,3.10,.73,.17,.57,.63,.10,.53,1.38,.68,.13,.55,5.11
larvae,,,5.6,5.76,6,.57,1.48,2.65,1.95,.80,.17,.63,.83,.27,.57,,.82,.22,.60,
larynx,4.45,4.00,5.2,6.09,6,1.14,1.77,2.90,2.60,.93,.07,.87,.80,.03,.77,.55,.87,.05,.82,2.20
laser,5.64,5.09,5.6,4.55,5,8.49,2.64,1.75,1.60,.83,.10,.73,.80,.20,.60,.64,.82,.15,.67,3.26
lasso,5.33,4.67,5.8,5.00,5,.88,1.66,1.95,1.85,.70,.13,.57,.70,.23,.47,.33,.70,.18,.52,1.54
latent,4.48,3.04,2.2,6.03,6,.76,1.60,1.85,2.55,.87,.33,.53,.90,.37,.53,.52,.88,.35,.53,1.58
later,3.95,3.72,2.5,3.79,5,291.94,4.17,1.50,1.15,.63,.10,.53,.50,.30,.20,1.05,.57,.20,.37,3.91
latex,,,5.7,5.52,5,1.45,1.88,1.90,2.85,.93,.27,.67,.77,.30,.47,,.85,.28,.57,
lather,5.57,4.39,5.7,5.15,6,.55,1.46,1.50,1.55,.70,.30,.40,.63,.30,.33,.57,.67,.30,.37,2.50
latrine,4.00,3.82,5.0,6.12,7,2.92,2.18,2.80,2.85,.90,.20,.70,.60,.10,.50,1.00,.75,.15,.60,3.82
latter,,,3.1,4.85,6,1.25,1.81,1.35,1.00,.80,.20,.60,.63,.40,.23,,.72,.30,.42,
launder,5.15,3.57,2.7,5.85,7,.67,1.54,1.90,1.70,.77,.23,.53,.73,.27,.47,.15,.75,.25,.50,.54
laundry,5.15,4.50,6.5,4.12,7,19.06,2.99,2.85,2.75,.87,.17,.70,.90,.37,.53,.15,.88,.27,.62,.68
lava,4.33,5.26,6.5,4.06,4,3.45,2.25,1.85,1.85,.93,.13,.80,.83,.37,.47,.67,.88,.25,.63,3.52
lavish,6.79,4.88,3.2,5.70,6,.76,1.60,2.20,1.90,.87,.27,.60,.83,.23,.60,1.79,.85,.25,.60,8.74
lawyer,3.94,3.95,6.5,5.00,6,79.51,3.61,1.90,1.80,.87,.13,.73,.63,.00,.63,1.06,.75,.07,.68,4.19
layer,5.20,3.45,4.9,4.64,5,3.71,2.28,1.70,1.65,.77,.03,.73,.63,.13,.50,.20,.70,.08,.62,.69
lazy,3.05,3.05,5.1,3.97,4,11.59,2.77,1.75,1.65,.73,.27,.47,.73,.13,.60,1.95,.73,.20,.53,5.95
leary,,,2.4,6.06,,,,,,.77,.07,.70,.70,.03,.67,,.73,.05,.68,
leather,5.84,3.57,6.6,4.70,7,13.59,2.84,1.70,1.35,.73,.20,.53,.70,.30,.40,.84,.72,.25,.47,3.00
lecture,4.00,3.16,4.9,5.36,7,10.47,2.73,2.15,1.95,.83,.40,.43,.67,.50,.17,1.00,.75,.45,.30,3.16
ledger,5.33,3.24,4.0,6.03,6,1.22,1.80,1.80,1.85,.83,.17,.67,.63,.10,.53,.33,.73,.13,.60,1.07
leeway,5.26,3.88,2.2,5.70,6,.55,1.46,2.85,2.65,.67,.00,.67,.73,.10,.63,.26,.70,.05,.65,1.01
legal,5.24,3.35,3.6,4.88,5,35.71,3.26,1.95,1.85,.67,.20,.47,.57,.40,.17,.24,.62,.30,.32,.80
legend,6.86,5.13,3.9,4.70,6,17.16,2.94,2.55,2.45,.80,.43,.37,.83,.37,.47,1.86,.82,.40,.42,9.54
legion,5.32,4.18,4.7,5.39,6,2.47,2.10,2.15,2.10,.80,.17,.63,.73,.23,.50,.32,.77,.20,.57,1.34
leisure,7.40,4.48,3.8,5.36,7,2.53,2.11,2.60,1.95,.77,.23,.53,.83,.57,.27,2.40,.80,.40,.40,10.75
lemon,6.37,4.52,6.7,3.36,5,12.02,2.79,1.85,1.70,.90,.07,.83,.77,.07,.70,1.37,.83,.07,.77,6.19
leopard,6.43,6.26,6.7,3.64,7,5.41,2.44,2.65,1.60,.87,.13,.73,.60,.30,.30,1.43,.73,.22,.52,8.95
leper,3.30,4.24,5.1,5.33,5,1.24,1.81,1.85,1.70,.73,.10,.63,.77,.33,.43,1.70,.75,.22,.53,7.21
lesion,2.95,5.62,4.2,5.55,6,.59,1.49,1.90,2.00,.77,.17,.60,.73,.30,.43,2.05,.75,.23,.52,11.52
lesson,5.57,3.80,4.5,3.91,6,32.24,3.22,2.00,1.65,.67,.23,.43,.67,.13,.53,.57,.67,.18,.48,2.17
lethal,2.48,5.64,5.0,5.48,6,5.67,2.46,2.65,2.10,.80,.23,.57,.73,.33,.40,2.52,.77,.28,.48,14.21
letter,5.68,3.19,6.4,3.76,6,82.61,3.62,1.65,1.00,.73,.17,.57,.63,.30,.33,.68,.68,.23,.45,2.17
lettuce,5.84,3.64,6.7,3.36,7,3.39,2.24,2.90,1.80,.73,.13,.60,.77,.10,.67,.84,.75,.12,.63,3.06
level,5.72,2.15,4.5,4.09,5,51.63,3.42,1.75,1.65,.73,.23,.50,.63,.30,.33,.72,.68,.27,.42,1.55
lever,4.50,2.56,6.1,4.88,5,3.20,2.21,1.35,1.45,.67,.17,.50,.60,.17,.43,.50,.63,.17,.47,1.28
liar,2.41,6.60,4.3,3.48,4,35.14,3.25,1.95,1.35,.73,.13,.60,.70,.17,.53,2.59,.72,.15,.57,17.09
libel,3.68,5.00,2.2,6.12,5,1.10,1.76,1.95,1.90,.83,.00,.83,.83,.17,.67,1.32,.83,.08,.75,6.60
licence,5.91,4.70,6.1,4.97,,,,,,.87,.20,.67,.70,.13,.57,.91,.78,.17,.62,4.28
license,,,6.3,5.24,7,32.06,3.21,2.60,2.00,.83,.37,.47,.67,.30,.37,,.75,.33,.42,
lilac,6.95,3.64,6.3,4.61,5,.76,1.60,2.45,1.95,.90,.03,.87,.80,.30,.50,1.95,.85,.17,.68,7.10
lilly,,,6.0,4.15,5,4.67,2.38,1.65,1.40,.87,.17,.70,.87,.33,.53,,.87,.25,.62,
lily,7.05,2.64,6.4,4.36,4,26.86,3.14,1.80,1.40,.90,.30,.60,.87,.40,.47,2.05,.88,.35,.53,5.41
limber,6.45,3.41,5.2,4.97,6,.82,1.63,1.90,1.85,.80,.07,.73,.80,.17,.63,1.45,.80,.12,.68,4.94
limbo,4.53,4.10,5.7,4.39,5,2.37,2.09,1.95,2.30,.93,.13,.80,.90,.33,.57,.47,.92,.23,.68,1.93
limit,4.53,4.29,2.9,4.55,5,13.02,2.82,1.95,1.90,.67,.13,.53,.40,.23,.17,.47,.53,.18,.35,2.02
linen,6.00,2.95,6.3,5.18,5,2.92,2.18,1.75,2.00,.80,.17,.63,.87,.20,.67,1.00,.83,.18,.65,2.95
linger,4.42,4.05,3.5,5.55,6,1.45,1.88,1.55,1.75,.83,.37,.47,.73,.37,.37,.58,.78,.37,.42,2.35
lingo,5.33,3.30,3.0,5.36,5,1.16,1.78,1.90,2.10,.67,.10,.57,.73,.20,.53,.33,.70,.15,.55,1.09
linguist,5.00,3.71,3.3,6.15,8,.53,1.45,2.90,2.95,.77,.07,.70,.70,.10,.60,.00,.73,.08,.65,.00
lining,,,4.9,4.88,6,4.53,2.37,1.75,1.55,.63,.10,.53,.57,.00,.57,,.60,.05,.55,
lion,5.84,5.29,6.8,2.94,4,15.35,2.89,1.70,1.55,.80,.10,.70,.67,.10,.57,.84,.73,.10,.63,4.44
liqueur,4.74,5.05,5.7,6.18,7,.55,1.46,2.90,1.90,.97,.07,.90,.83,.23,.60,.26,.90,.15,.75,1.31
liquid,5.35,3.67,6.5,3.76,6,7.75,2.60,2.65,2.55,.83,.13,.70,.73,.23,.50,.35,.78,.18,.60,1.28
liquor,4.85,5.85,6.8,5.79,6,17.29,2.95,2.90,1.20,.70,.20,.50,.80,.20,.60,.15,.75,.20,.55,.88
listen,6.91,3.76,4.3,3.03,6,544.78,4.44,1.85,1.65,.40,.17,.23,.50,.27,.23,1.91,.45,.22,.23,7.18
liter,4.37,3.65,5.9,4.58,5,1.75,1.95,1.50,1.00,.93,.17,.77,.73,.20,.53,.63,.83,.18,.65,2.30
litter,2.58,3.80,5.8,4.24,6,3.92,2.30,1.55,1.00,.83,.17,.67,.77,.23,.53,2.42,.80,.20,.60,9.20
little,5.91,4.20,4.9,3.00,6,1446.39,4.87,2.00,1.55,.57,.03,.53,.50,.07,.43,.91,.53,.05,.48,3.82
liver,4.19,3.27,6.3,4.76,5,14.29,2.86,1.25,1.55,.83,.07,.77,.77,.17,.60,.81,.80,.12,.68,2.65
lizard,5.43,5.50,6.6,3.42,6,4.84,2.39,2.50,1.75,.80,.13,.67,.80,.07,.73,.43,.80,.10,.70,2.37
llama,5.43,4.04,6.2,4.33,5,1.41,1.86,1.95,1.65,.90,.03,.87,.90,.10,.80,.43,.90,.07,.83,1.74
lobby,4.76,4.65,6.0,4.52,5,12.69,2.81,1.85,1.60,.63,.17,.47,.63,.37,.27,.24,.63,.27,.37,1.12
lobster,6.43,4.67,6.7,3.88,7,7.33,2.57,1.95,2.45,.80,.10,.70,.73,.20,.53,1.43,.77,.15,.62,6.68
local,6.77,3.80,4.0,4.52,5,41.73,3.33,1.80,1.80,.77,.17,.60,.57,.23,.33,1.77,.67,.20,.47,6.73
locate,5.58,3.67,3.7,4.30,6,10.27,2.72,2.10,2.00,.43,.13,.30,.60,.30,.30,.58,.52,.22,.30,2.13
locker,4.79,3.35,6.9,4.24,6,15.98,2.91,1.75,1.50,.77,.13,.63,.73,.23,.50,.21,.75,.18,.57,.70
locket,5.71,3.39,6.4,4.18,6,1.71,1.94,1.70,1.70,.77,.00,.77,.67,.07,.60,.71,.72,.03,.68,2.41
locust,3.16,4.24,5.9,5.06,6,.86,1.65,2.30,2.20,.87,.13,.73,.70,.20,.50,1.84,.78,.17,.62,7.80
logic,6.58,3.67,2.9,5.21,5,6.71,2.54,2.05,2.45,.70,.23,.47,.66,.31,.34,1.58,.68,.27,.41,5.80
logo,5.53,3.32,5.2,5.03,,,,,,.77,.17,.60,.67,.27,.40,.53,.72,.22,.50,1.76
lonesome,3.35,3.45,4.3,4.94,8,7.00,2.55,3.30,2.70,.77,.03,.73,.70,.03,.67,1.65,.73,.03,.70,5.69
lookout,4.43,4.32,4.1,4.03,7,4.45,2.36,2.70,2.50,.53,.03,.50,.47,.03,.43,.57,.50,.03,.47,2.46
loopy,4.67,4.25,4.3,4.82,5,.65,1.53,1.85,1.65,.80,.13,.67,.67,.13,.53,.33,.73,.13,.60,1.40
lotion,5.52,3.55,6.6,3.85,6,3.25,2.22,1.80,1.70,.83,.17,.67,.70,.13,.57,.52,.77,.15,.62,1.85
lotto,6.05,6.00,5.4,5.61,5,1.67,1.93,1.85,1.90,.83,.20,.63,.80,.13,.67,1.05,.82,.17,.65,6.30
loyal,7.31,3.65,3.9,4.67,5,12.00,2.79,1.90,1.90,.70,.20,.50,.70,.27,.43,2.31,.70,.23,.47,8.43
lucid,5.35,4.78,2.2,5.94,5,1.27,1.82,1.95,2.00,.90,.27,.63,.77,.23,.53,.35,.83,.25,.58,1.67
lucky,7.32,5.30,4.2,3.55,5,143.45,3.86,1.70,1.65,.73,.13,.60,.70,.10,.60,2.32,.72,.12,.60,12.30
luggage,5.19,3.75,6.1,4.52,7,11.12,2.75,2.95,2.70,.77,.27,.50,.83,.27,.57,.19,.80,.27,.53,.71
lumbar,4.47,3.28,4.5,5.97,6,1.02,1.72,2.40,1.70,.77,.20,.57,.77,.27,.50,.53,.77,.23,.53,1.74
lumber,5.65,3.32,6.5,4.85,6,2.47,2.10,1.65,1.70,.73,.37,.37,.83,.33,.50,.65,.78,.35,.43,2.16
lunar,6.15,5.50,5.3,5.70,5,2.06,2.03,2.05,1.60,.87,.07,.80,.80,.20,.60,1.15,.83,.13,.70,6.33
lupus,,,2.9,6.21,,,,,,.87,.17,.70,.67,.13,.53,,.77,.15,.62,
lurid,,,1.4,6.15,5,.65,1.53,1.90,1.90,.57,.07,.50,.47,.03,.43,,.52,.05,.47,
luscious,6.91,5.75,3.8,5.64,8,1.27,1.82,2.95,1.95,.67,.07,.60,.67,.07,.60,1.91,.67,.07,.60,10.98
lyric,6.53,3.57,5.7,4.76,5,1.10,1.76,2.40,1.90,.93,.13,.80,.80,.20,.60,1.53,.87,.17,.70,5.46
lyrics,6.42,4.95,6.0,4.55,6,5.08,2.42,2.70,2.10,.63,.23,.40,.80,.20,.60,1.42,.72,.22,.50,7.03
machine,5.00,4.39,6.0,4.00,7,70.25,3.55,2.35,2.55,.80,.17,.63,.67,.17,.50,.00,.73,.17,.57,.00
macho,4.84,3.96,5.3,4.94,,,,,,.80,.03,.77,.80,.07,.73,.16,.80,.05,.75,.63
madam,5.17,3.05,5.5,4.85,5,44.00,3.35,1.95,1.80,.93,.17,.77,.83,.40,.43,.17,.88,.28,.60,.52
madame,,,5.9,5.00,6,31.20,3.20,2.50,2.85,.93,.17,.77,.80,.20,.60,,.87,.18,.68,
maggot,2.00,5.60,6.4,5.12,6,1.59,1.91,2.60,1.80,.90,.10,.80,.80,.17,.63,3.00,.85,.13,.72,16.80
magic,7.17,6.05,5.6,3.21,5,52.69,3.43,1.90,2.60,.70,.13,.57,.67,.20,.47,2.17,.68,.17,.52,13.13
